"7","C0242301","Boil (Furuncle)","1","C0162871","441.4","Abdominal aortic aneurysm (enlarged major blood vessel)","","","1"
"32","C0424790","Rigors","1","C0162871","441.4","Abdominal aortic aneurysm (enlarged major blood vessel)","","","1"
"173","C0009088","Cluster headache (one-sided headache behind the eye)","1","C0162871","441.4","Abdominal aortic aneurysm (enlarged major blood vessel)","0","0","1"
"205","","Headache after trauma","1","C0162871","441.4","Abdominal aortic aneurysm (enlarged major blood vessel)","0","0","1"
"54","C0344329","Passing out","1","C0162871","441.4","Abdominal aortic aneurysm (enlarged major blood vessel)","","","1"
"275","C0151602","Facial swelling","1","C0162871","441.4","Abdominal aortic aneurysm (enlarged major blood vessel)","","","1"
"96","C0023380","Lethargy (Sluggishness)","10","C0743249","","Acid abuse (LSD)","","",""
"191","C0009938","Contusion (bruise, ecchymosis)","1000","C0242301","608.4","Boil (pus-filled lump)","1","1","0"
"192","","Inconsolable baby","1000","C0242301","608.4","Boil (pus-filled lump)","1","1","0"
"193","C0043144","Wheezing (Noisy breathing)","1000","C0242301","608.4","Boil (pus-filled lump)","1","1","0"
"223","C0037383","Sneezing","1000","C0242301","608.4","Boil (pus-filled lump)","1","1","0"
"226","C0520966","Incoordination","1000","C0242301","608.4","Boil (pus-filled lump)","1","1","0"
"228","C2751891","Loss of coordination","1000","C0242301","608.4","Boil (pus-filled lump)","1","1","0"
"229","C0234518","Slurred speech","1000","C0242301","608.4","Boil (pus-filled lump)","1","1","0"
"193","C0043144","Wheezing (Noisy breathing)","1001","C0002994","995.1","Angioedema (swelling of skin, lips, eyes)","1","1","1"
"194","C0340648","Coronary artery dissection (heart artery tear)","1001","C0002994","995.1","Angioedema (swelling of skin, lips, eyes)","1","1","1"
"126","C0034886","Rectal pain","1001","C0002994","995.1","Angioedema (swelling of skin, lips, eyes)","1","1","1"
"195","C0497156","Swollen lymph nodes (Large lymph nodes)","1001","C0002994","995.1","Angioedema (swelling of skin, lips, eyes)","1","1","1"
"130","C0236078","Scrotal pain","1001","C0002994","995.1","Angioedema (swelling of skin, lips, eyes)","1","1","1"
"81","C0009264","Low temperature","1001","C0002994","995.1","Angioedema (swelling of skin, lips, eyes)","","","1"
"139","C0037379","Snake bite","1002","","","Hot tub follicullitis (hair follicle infection)","1","1","0"
"112","C0028754","Obesity","1003","C0035305","361.9","Detached retina (retinal detachment)","1","0","1"
"197","C0010346","Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation)","1003","C0035305","361.9","Detached retina (retinal detachment)","1","1","1"
"198","","Cryptosporidia infection (diarrheal parasite infection)","1003","C0035305","361.9","Detached retina (retinal detachment)","1","0","1"
"197","C0010346","Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation)","1004","C0423361","","Posterior vitreous detachment (common eye abnormality)","1","0","0"
"198","","Cryptosporidia infection (diarrheal parasite infection)","1004","C0423361","","Posterior vitreous detachment (common eye abnormality)","1","0","0"
